block_name,case_name,operator,calls,cpu_time_total_us,cuda_time_total_us,self_cpu_memory_usage_bytes,self_cuda_memory_usage_bytes,input_shapes
torch_baseline,quick_b1_l128_d256,aten::layer_norm,1,2871,0.0,0,-1024,
torch_baseline,quick_b1_l128_d256,aten::native_layer_norm,1,2843,0.0,0,0,
torch_baseline,quick_b1_l128_d256,aten::empty,3,57,0.0,0,132096,
torch_baseline,quick_b1_l128_d256,cudaLaunchKernel,5,152,0.0,0,0,
torch_baseline,quick_b1_l128_d256,aten::view,6,36,0.0,0,0,
torch_baseline,quick_b1_l128_d256,aten::linear,2,310,0.0,0,0,
torch_baseline,quick_b1_l128_d256,aten::reshape,2,14,0.0,0,0,
torch_baseline,quick_b1_l128_d256,aten::t,2,34,0.0,0,0,
torch_baseline,quick_b1_l128_d256,aten::transpose,2,17,0.0,0,0,
torch_baseline,quick_b1_l128_d256,aten::as_strided,2,5,0.0,0,0,
torch_baseline,quick_b1_l128_d256,aten::addmm,2,228,0.0,0,393216,
torch_baseline,quick_b1_l128_d256,cudaMemsetAsync,1,31,0.0,0,0,
torch_baseline,quick_b1_l128_d256,[memory],3,0,0.0,0,-655360,
torch_baseline,quick_b1_l128_d256,aten::silu,1,48,0.0,0,262144,
torch_baseline,quick_b1_l128_d256,cudaOccupancyMaxActiveBlocksPerMultiprocessor,1,4,0.0,0,0,
torch_baseline,quick_b1_l128_d256,cudaDeviceSynchronize,2,10,0.0,0,0,
mamba_ssm_mamba,quick_b1_l128_d256,aten::permute,7,41,0.0,0,0,
mamba_ssm_mamba,quick_b1_l128_d256,aten::as_strided,19,14,0.0,0,0,
mamba_ssm_mamba,quick_b1_l128_d256,aten::reshape,10,65,0.0,0,0,
mamba_ssm_mamba,quick_b1_l128_d256,aten::_reshape_alias,5,8,0.0,0,0,
mamba_ssm_mamba,quick_b1_l128_d256,aten::matmul,4,4377,0.0,0,0,
mamba_ssm_mamba,quick_b1_l128_d256,aten::mm,4,4341,0.0,0,942080,
mamba_ssm_mamba,quick_b1_l128_d256,cudaMemsetAsync,1,66,0.0,0,0,
mamba_ssm_mamba,quick_b1_l128_d256,cudaOccupancyMaxActiveBlocksPerMultiprocessor,2,10,0.0,0,0,
mamba_ssm_mamba,quick_b1_l128_d256,cudaLaunchKernel,13,304,0.0,0,0,
mamba_ssm_mamba,quick_b1_l128_d256,aten::view,5,22,0.0,0,0,
mamba_ssm_mamba,quick_b1_l128_d256,aten::to,3,2,0.0,0,0,
mamba_ssm_mamba,quick_b1_l128_d256,aten::exp,1,75,0.0,0,32768,
mamba_ssm_mamba,quick_b1_l128_d256,aten::neg,1,31,0.0,0,32768,
mamba_ssm_mamba,quick_b1_l128_d256,[memory],9,0,0.0,0,-1417216,
mamba_ssm_mamba,quick_b1_l128_d256,aten::chunk,1,69,0.0,0,0,
mamba_ssm_mamba,quick_b1_l128_d256,aten::split,1,36,0.0,0,0,
mamba_ssm_mamba,quick_b1_l128_d256,aten::narrow,2,24,0.0,0,0,
mamba_ssm_mamba,quick_b1_l128_d256,aten::slice,5,23,0.0,0,0,
mamba_ssm_mamba,quick_b1_l128_d256,CausalConv1dFn,1,146,0.0,0,0,
mamba_ssm_mamba,quick_b1_l128_d256,aten::empty_like,5,63,0.0,0,0,
mamba_ssm_mamba,quick_b1_l128_d256,aten::empty_strided,3,35,0.0,0,786432,
mamba_ssm_mamba,quick_b1_l128_d256,aten::linear,2,237,0.0,0,0,
mamba_ssm_mamba,quick_b1_l128_d256,aten::t,3,58,0.0,0,0,
mamba_ssm_mamba,quick_b1_l128_d256,aten::transpose,3,47,0.0,0,0,
mamba_ssm_mamba,quick_b1_l128_d256,aten::split_with_sizes,1,11,0.0,0,0,
mamba_ssm_mamba,quick_b1_l128_d256,aten::contiguous,2,92,0.0,0,0,
mamba_ssm_mamba,quick_b1_l128_d256,aten::clone,2,88,0.0,0,0,
mamba_ssm_mamba,quick_b1_l128_d256,aten::empty,3,13,0.0,0,81920,
