block_name,case_name,operator,runtime_ms,total,percent,operator_category_zh,operator_name_zh,operator_explanation_zh,runtime_source
mamba_ssm_mamba,quick_b1_l128_d256,aten::matmul,4.377,10.568000000000001,41.41748675246025,矩阵计算,矩阵乘法,通用矩阵乘法接口。在线性层、投影层、注意力或状态空间计算里，经常用它把输入向量乘以权重矩阵。耗时高通常说明大部分计算量来自 dense 矩阵运算。,cpu_fallback
mamba_ssm_mamba,quick_b1_l128_d256,aten::mm,4.341,10.568000000000001,41.07683573050719,矩阵计算,二维矩阵乘法,专门处理二维矩阵相乘的底层算子，常由 Linear、matmul 或权重投影触发。它通常是神经网络里最主要的浮点计算来源。,cpu_fallback
mamba_ssm_mamba,quick_b1_l128_d256,cudaLaunchKernel,0.304,10.568000000000001,2.876608629825889,CUDA 调度,启动 CUDA kernel,CPU 向 GPU 发起一个 kernel 启动请求。它不是模型数学计算本身，但 kernel 很多时，调度开销会在 CPU profiler 中变明显。,cpu_fallback
mamba_ssm_mamba,quick_b1_l128_d256,aten::linear,0.237,10.568000000000001,2.2426192278576833,神经网络层,线性层,PyTorch 的全连接层接口，本质是输入乘以权重矩阵，再可选加 bias。Mamba/Mamba2/Mamba3 里很多输入投影、输出投影都来自这个算子。,cpu_fallback
mamba_ssm_mamba,quick_b1_l128_d256,SelectiveScanFn,0.182,10.568000000000001,1.7221801665404994,Mamba 核心,选择性扫描,Mamba1 的核心状态空间扫描函数。它沿序列维度递推状态，是 Mamba 区别于普通 MLP/卷积的重要部分。,cpu_fallback
mamba_ssm_mamba,quick_b1_l128_d256,CausalConv1dFn,0.146,10.568000000000001,1.3815291445874334,卷积,卷积相关算子,卷积或因果卷积相关操作。Mamba/Mamba2 中短卷积用于混合局部上下文信息。,cpu_fallback
mamba_ssm_mamba,quick_b1_l128_d256,aten::contiguous,0.092,10.568000000000001,0.8705526116578349,其他,未专门标注的算子,PyTorch profiler 记录到的其他底层操作。可以结合 operator 原名和 input_shapes 进一步定位其来源。,cpu_fallback
mamba_ssm_mamba,quick_b1_l128_d256,aten::clone,0.088,10.568000000000001,0.8327024981074942,其他,未专门标注的算子,PyTorch profiler 记录到的其他底层操作。可以结合 operator 原名和 input_shapes 进一步定位其来源。,cpu_fallback
mamba_ssm_mamba,quick_b1_l128_d256,Other,0.8009999999999999,10.568000000000001,7.579485238455713,汇总项,其他算子,为了让图表可读，排名靠后的许多小算子被合并到 Other。它代表剩余算子的总和，不是单个真实 PyTorch 算子。,cpu_fallback
mamba_ssm_mamba2,quick_b1_l128_d256,aten::linear,4.561,15.066999999999998,30.271454171367896,神经网络层,线性层,PyTorch 的全连接层接口，本质是输入乘以权重矩阵，再可选加 bias。Mamba/Mamba2/Mamba3 里很多输入投影、输出投影都来自这个算子。,cpu_fallback
